UMAP1,UMAP2
18.086842,7.321689
17.925749,7.478844
17.958002,7.4667983
18.152613,7.590117
16.656073,3.2627153
16.706285,3.256783
9.727486,10.12067
9.674762,10.077527
9.683413,10.350862
9.961265,10.374093
18.343111,7.633862
18.102995,7.676057
11.21112,0.63283694
11.388568,0.44084385
11.241047,0.3100005
15.309258,2.5840225
11.533898,1.180631
11.275046,0.8589787
15.429213,2.6776009
15.369598,2.685668
18.33193,7.292434
18.420631,7.3384886
18.381681,4.3571377
18.391415,4.3387156
12.489577,9.624694
15.640218,3.6182
17.725662,4.551737
12.750771,9.647369
11.567827,6.703552
11.561124,6.729482
18.306484,4.3921804
18.383621,4.2892776
18.33843,4.3732166
11.010018,-4.0722117
15.715192,4.3676133
11.741626,6.9038897
10.836716,-4.074048
14.812048,4.9188185
16.282957,3.610039
18.330572,4.2897077
18.387598,4.339524
16.362589,4.1307607
15.807849,4.262749
15.38042,4.3347096
16.059286,4.103659
12.228188,9.684608
15.104093,4.650906
14.815709,4.907086
14.857038,4.885461
14.789271,4.8717465
12.738716,5.5684576
12.50186,5.602084
10.966824,-3.9388158
10.689085,-4.1809573
10.700136,-4.170899
10.673607,-4.2332606
10.74856,-4.185035
10.6345415,-4.19487
10.755578,-4.2109065
10.722728,-4.230313
10.6864805,-4.292216
15.432454,3.6941485
15.059548,4.6368756
11.029922,0.5308445
4.2571216,0.6128157
10.551652,-3.9410796
15.915744,3.6419764
15.898133,3.6499598
15.899613,3.6315148
15.875803,4.354598
15.753066,4.265461
15.139303,4.611825
15.33788,4.5753503
11.152475,0.52477473
15.841625,4.7192526
15.790066,4.6907735
16.260239,3.9511652
16.37708,3.660081
16.336103,3.696606
16.38966,3.7628598
16.540981,2.938408
16.537756,2.8898747
16.45378,3.0631607
12.003862,1.4901772
10.4727335,-3.8899512
10.474855,-3.8703892
13.038198,9.409579
16.733747,2.9167175
16.286032,4.0000463
16.563631,2.9181175
15.76404,4.7258515
15.879502,4.7603955
15.905053,4.238257
11.08361,0.38163608
11.795898,6.3274946
11.817816,6.24211
11.022998,0.38356125
15.502337,3.5842054
18.2108,7.1201615
18.244545,7.330065
16.375488,3.0202706
11.4234495,-3.995173
-6.0146775,0.9078486
-5.8747144,0.76488256
-5.981842,0.9171039
-5.952057,0.8521459
-6.2884965,1.4048741
11.650855,-3.8667529
11.383664,-3.934359
-6.375869,1.5026287
-6.2931504,1.5590547
-6.2591734,1.6764171
-6.3376026,1.6269046
-6.414717,1.6242744
-6.3445196,1.4749775
