lig_code,smiles,inchikey,chembl_id,er_action
7AI,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)OCCN5CCCCC5)c6ccc(cc6)O)O,,,unknown
7E1,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)C=CCCCC(=O)O)c5ccc(cc5)O,,,unknown
7E3,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCCCC(=O)O)c5ccc(cc5)O,,CHEMBL1201584,unknown
7EB,CN(C)CCOc1ccc(cc1)C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O,,,unknown
7EC,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCN6CCCCC6)O,,,unknown
7ED,CCC(c1ccc(cc1)O)C(c2ccc(cc2)O)C(=O)OCCCCCCCCOC(=O)C(c3ccc(cc3)O)C(CC)c4ccc(cc4)O,,,unknown
7EE,CC12CCC3c4ccc(cc4CCC3C1CCC2(C#Cc5ccc(cc5)N)O)O,,,unknown
7EF,CC(=CCn1c(c2cccc(c2n1)C(F)(F)F)c3ccc(cc3O)O)C,,CHEMBL2368924,agonist
7EG,c1cc(ccc1c2ccc(c(c2c3ccc(cc3)O)C=NO)O)O,,,unknown
7EH,Cn1c2c(cc(cn2)c3ccccc3)nc1N,,,unknown
7EI,COc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCN5CCCCC5)c6ccc(cc6)O,,,unknown
7EL,c1cc(ccc1c2ccc(c(c2Cl)O)C=NO)O,,,unknown
7EM,c1cc(ccc1c2cc(sc2c3ccc(cc3)O)c4ccc(cc4)O)O,,,unknown
7EN,c1cc(c(cc1O)Cl)C2=C(S(=O)C=C2)c3ccc(cc3Cl)O,,,unknown
7EO,c1cc(c(cc1O)Cl)C2=CC=C(S2=O)c3ccc(cc3Cl)O,,,unknown
7EQ,c1cc(c(cc1O)F)C2=CC=C(S2=O)c3ccc(cc3F)O,,,unknown
7ER,c1cc(c(cc1O)F)C2=CS(=O)(=O)C=C2c3ccc(cc3F)O,,,unknown
7ES,c1cc(c(cc1O)F)c2ccsc2c3ccc(cc3F)O,,,unknown
7EV,c1cc(ccc1C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCCCC(=O)O)O,,,unknown
7FD,CCOC(=O)C=Cc1ccc(cc1)C(=C2CCCCC2)c3ccc(cc3)O,,,unknown
7FG,CCOC(=O)C=Cc1ccc(cc1)C(=C2C3CCCC2CCC3)c4ccc(cc4)O,,,unknown
7FJ,c1ccc2c(c1)CC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2,,,unknown
7FL,c1cc(ccc1C(=C2CCCCCC2)c3ccc(cc3)O)O,,,unknown
7FO,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)I)c5ccc(cc5)O)O,,,unknown
7FP,CC(=O)Nc1ccc(cc1)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
7FQ,CC12CCC3c4ccc(cc4CCC3C1CC(C2O)Cc5ccc(cc5)OC)O,,,unknown
