TSNE1,TSNE2
-1.4036692,-19.617771
11.140072,4.203244
11.049545,6.7044444
11.221308,6.3232155
11.784614,2.0514474
12.434424,3.396275
12.471681,4.0547256
16.186642,-14.443528
16.204155,-14.666191
-4.4772215,-17.747759
-3.968745,-17.795671
-0.82439196,0.3340983
-0.8243899,0.334096
2.6519892,0.9960148
10.85467,-9.40242
-1.8777039,0.63591444
-6.941549,9.743405
18.895594,-8.183983
18.919132,-8.172648
-1.6222857,-1.0664514
12.268279,-8.315998
-1.6222734,-1.0663273
-15.002806,17.029016
-13.958685,17.319876
-13.008123,17.126322
-14.793851,16.283445
-9.216448,7.69544
-7.011906,9.770778
-1.6725817,-0.6525712
-1.7244714,-0.583943
-3.1646326,-0.5649821
-10.028137,7.129927
-10.291132,7.0974765
-8.873999,-6.876484
2.3818924,0.9292315
-8.19216,6.2064285
-9.380616,5.355371
-9.706427,5.3708644
-9.625032,5.40857
-12.092628,18.668642
-12.077056,18.734194
-12.135527,18.987482
-14.506079,15.551536
-14.349487,15.632908
-14.362325,15.640198
-14.842302,15.948293
-13.936146,15.975251
-13.975402,16.096413
-14.821353,15.21487
-15.901812,15.383222
10.91422,-9.861736
-9.157301,6.13765
0.12307834,6.6460595
-4.2056074,-7.7608657
-11.036038,17.85473
-1.3904086,23.400724
-1.3538995,23.399534
-1.6389226,23.537941
-8.864718,-6.877222
-8.799733,-6.676553
-7.8465843,6.5524273
-7.3548703,6.8747654
0.14570132,6.6075344
-15.796371,4.388324
-15.450895,4.173392
-5.941909,-18.472824
-6.146925,-18.651085
-6.5381403,-18.281485
-6.538426,-18.280716
-8.125184,-19.496704
-8.774392,-19.846748
-7.662636,-19.04886
-9.8101425,15.168522
-9.881367,15.308342
-9.889139,15.332426
-15.597109,-0.9558639
-8.226936,-19.98206
-6.160918,-18.066696
-7.75712,-19.303602
-15.774328,4.380357
-16.079697,4.593781
-0.37561443,5.3279934
0.36673498,5.4834666
-2.62745,2.4743042
-2.747384,2.5707233
0.36673388,5.483392
-1.5119789,4.141496
-3.0946994,-19.987373
-3.0332196,-20.00448
-9.214242,-19.498985
-16.418913,18.430264
-19.419424,21.881824
-19.335869,22.529074
-18.532728,22.802015
-18.206947,22.442526
-17.300972,22.913177
-17.063887,20.432495
-16.809689,18.99443
-17.303102,22.92145
-15.859075,22.946133
-16.152565,23.010698
-16.58424,23.820251
-17.427696,24.113148
-17.51552,23.30137
-16.357172,22.28625
-16.623053,24.22311
-18.13384,20.01641
-18.712875,21.764236
-17.049978,24.40622
-18.215971,22.12163
-17.661247,20.31093
-17.445007,19.665585
-17.102356,19.862984
-18.658804,22.848454
-19.327583,23.486238
-19.453295,22.86907
-18.63803,23.57395
-18.63803,23.57395
-17.384243,23.75383
-16.847086,23.550072
-17.006948,19.847208
-16.488588,20.272507
-16.616854,19.247108
-17.957033,19.35893
-17.07456,18.858397
-17.575758,19.51109
-18.687298,22.379314
-16.605856,22.411129
-4.902826,22.965063
-6.72595,23.357847
-4.4535327,22.420095
-4.567884,22.180103
-5.0554466,22.882895
-5.3107014,22.248875
-4.4565454,22.788061
-3.9186292,23.62873
-6.5834517,24.574888
-5.9363832,23.85226
-5.696923,24.114803
-6.8975782,24.211065
-6.202676,23.67699
-6.3281727,23.578646
-8.1843815,23.832743
-6.156114,23.264277
-6.2998238,22.955828
-5.3596287,22.544083
-6.094762,21.49691
-5.3745003,22.276442
-4.3278637,23.73196
-2.2857218,21.36489
-2.3915834,21.504934
-3.065359,21.396717
-2.7400947,24.525244
-14.841375,15.953581
-3.2038946,21.803347
6.3916893,4.445817
6.370766,4.338128
6.426473,4.0691934
5.704212,4.052012
5.7794485,4.8364015
5.465436,5.1353707
-2.2857218,21.36489
-7.434241,23.759474
6.3967357,3.9263318
-3.2060578,25.043594
-3.222935,23.984676
-3.6814375,4.689771
-3.939335,4.8118258
-3.9609318,4.277597
-4.4351697,5.623419
-4.8635006,4.924629
-5.0131845,4.963957
-4.0716863,5.4857173
-4.0716863,5.4857173
-3.0489094,5.122037
-2.922694,5.597766
-3.1786466,5.769828
-4.7877297,5.3166714
-5.1876454,5.4905567
-5.427185,5.6997747
-5.481013,4.4622993
-5.7878613,-24.021498
-5.7878613,-24.021498
-5.769734,-24.059732
-5.76974,-24.059721
-5.782688,-20.36309
-5.700126,-20.156197
-7.0627155,-20.223719
-5.914151,-19.964863
-6.7804904,-19.586594
-8.550049,-18.993343
-6.5790935,-20.905537
-6.5790935,-20.905537
-9.387021,14.723224
-5.441924,4.274548
-4.5284348,4.5049863
