UMAP1,UMAP2
-0.53214884,1.687078
-0.347998,1.1190416
-0.330515,1.2192048
-0.37893248,1.1414442
2.57446,4.460635
2.69385,4.5880046
2.476685,4.4977794
2.528552,4.442932
2.3253465,4.2952805
2.4258862,4.407408
2.5779068,6.6660886
2.5851498,6.6450505
2.6425922,6.729269
2.654845,6.7060366
2.896672,6.5514884
2.967356,6.453029
2.4539475,6.703924
2.8818996,6.5298095
2.9041345,6.577247
2.8892505,6.446758
3.1465712,6.810113
3.3639026,6.8568225
3.3406858,6.9053054
2.9943013,6.807873
3.161163,6.731227
2.9764836,6.7839646
3.341266,6.85272
3.4761653,6.740214
3.3098454,6.762353
0.92845416,5.026489
2.6470463,6.690782
10.537089,6.9722123
10.538012,6.9528265
8.085411,9.495099
8.075381,9.488978
8.061299,9.43755
8.069078,9.455778
7.9831963,9.558343
1.1583039,5.67714
6.9156747,-0.82281196
6.8200946,-0.92320293
6.9389997,-0.85658145
6.8266726,-1.0156593
6.8240957,-1.0010442
7.1457047,-0.9213906
7.2021713,-0.9707562
6.9420176,-0.9877719
7.26214,-0.96792275
7.2238255,-1.0569768
1.0911336,5.7335334
2.256955,5.411385
2.1037297,5.269846
1.3794758,8.966424
10.25444,6.675462
1.4651399,9.540238
-0.5042386,0.9350888
2.4271367,6.443472
0.77737784,9.430797
0.6727755,9.550774
1.4327292,9.9014
7.563505,8.036506
3.100415,6.0133314
8.186255,9.345296
8.156763,9.421181
1.3036025,10.003956
9.953675,6.3833036
2.1578166,4.1266074
2.110907,4.084825
0.62561756,4.9798174
1.2437383,9.850127
10.568959,7.228501
5.4712796,-0.48642096
3.6009953,6.6846347
0.6502232,4.9372673
-0.5498332,1.6012523
-0.5008896,1.6968277
-0.464109,2.0134463
-0.47959873,1.9536391
-0.48334202,1.9089551
4.4950576,-0.2759845
4.512777,-0.2993195
4.528763,-0.29127708
4.4892693,-0.30381477
4.581428,-0.35945857
-0.74673367,0.8424057
4.39213,-0.21438044
4.431502,-0.23868357
-0.55223423,0.95367986
-0.64690626,1.0437727
3.5505257,6.581537
3.3613718,6.5625505
2.409759,6.264426
2.875225,6.7249804
-0.85933876,0.74489987
-0.30457443,0.70370847
1.4833258,9.50267
1.4499983,9.86891
1.3700294,9.953885
1.1092829,9.448595
0.974398,9.643639
1.206771,9.457172
2.126677,4.0943546
2.1279788,4.088982
5.355612,-0.47178006
5.301532,-0.46440044
7.00737,10.347134
7.0407815,10.387055
6.671839,9.55601
0.79309034,5.185141
6.912822,10.52186
7.9337926,8.856564
2.8199809,5.6564274
2.8056939,5.67158
6.7288866,10.521123
1.2681197,5.451414
6.7391505,10.507361
9.58951,4.4196544
9.723636,4.4742293
9.898443,4.424111
9.552768,4.5125194
8.5063715,8.848412
8.080518,8.704994
6.723852,10.529606
6.7664294,10.528474
6.755002,10.265608
8.702618,8.78067
8.577865,8.936266
9.134854,5.6658254
6.7151566,9.801356
8.456028,8.690725
8.475792,8.639599
8.657036,8.679496
8.698465,8.671695
9.937482,4.3532896
10.067533,4.348481
10.26603,4.198801
9.398978,4.5999403
9.494395,4.542955
9.43484,4.5724607
9.51166,4.523305
9.774452,4.3403983
9.70928,4.4766445
9.507224,4.5105724
9.312105,5.073384
0.86128,5.1292396
8.6716585,8.637517
7.053767,8.855275
9.301035,5.55279
10.22522,4.306602
16.772411,3.095409
16.707836,3.1841214
16.741564,3.0225356
9.133118,5.5989423
9.025777,5.7931733
8.469536,8.610413
8.094493,8.48097
6.961136,8.935966
10.870258,7.029721
10.836514,7.052066
5.8156734,-0.53601027
5.819829,-0.52205354
5.7694054,-0.5142517
5.7655163,-0.49149117
7.3772707,-0.9398523
7.3895016,-0.9547842
7.2259717,-0.80164236
9.72391,4.993514
9.725828,4.9271493
9.80273,4.80517
10.309089,6.7245703
