UMAP1,UMAP2
1.1963955,-0.40277192
1.1595176,-0.3660308
1.1737646,-0.38072333
0.14794073,1.3272232
1.0946656,-0.29442033
1.0940657,-0.29588172
-0.08456275,1.7162945
-0.07180942,1.6188419
1.4890711,8.118816
1.392174,8.209541
0.33705437,8.114158
0.90967256,8.543894
0.037651062,1.3222893
-0.07125403,1.512924
-1.1522229,11.944853
-0.9701943,12.260457
-1.0127037,12.2200575
-1.1234639,11.692415
-1.2134988,11.787027
-1.2154535,11.91222
0.21658069,5.733014
0.23694193,5.711762
1.8012954,-1.0128803
1.7519544,-0.9580663
9.133569,9.291437
8.964548,9.340089
8.249965,9.158417
-0.6942528,6.602674
9.2354145,9.315399
7.8956966,8.148934
0.7545653,7.3261685
0.7295732,7.3312883
9.22901,9.637402
-0.64168334,7.05548
9.262641,9.620092
4.776314,4.5441117
4.8960166,4.431427
5.0132318,4.639206
4.7689342,4.5493627
7.2075305,8.144559
7.640127,8.136474
9.24314,9.577929
9.322934,9.556394
9.153797,9.511633
7.1633596,8.054138
7.151701,8.124435
5.014641,3.496494
8.446993,9.235757
7.3901143,7.8730974
7.2624516,7.6217837
7.124409,7.767671
7.1586995,7.792552
5.0964146,4.749528
5.2573757,4.581957
5.3768883,4.551729
4.869055,4.674161
4.891475,4.68643
4.7465634,4.6239853
4.7445974,4.6032066
4.7997327,4.536417
4.8253336,4.5243344
4.8291583,4.502585
4.8762584,3.896811
-0.74495506,6.3887625
7.1957183,7.8609195
8.06553,8.547918
5.026434,3.6652493
5.2811346,4.41728
10.594464,2.6339648
10.559076,2.659282
10.489336,2.5431013
5.0355535,3.4667902
5.127893,3.3664927
7.5239215,7.92943
7.7909293,7.8349485
7.980376,8.682158
7.408517,2.5499818
7.313043,2.609378
2.1644053,-1.3456477
2.1378806,-1.4262246
2.1277804,-1.3274273
2.192042,-1.3705184
3.2205799,-2.7169476
3.163643,-2.7382488
3.3364289,-2.692567
4.9393506,4.195556
4.955845,4.2634335
5.016302,4.3127837
6.267768,2.853512
3.10676,-2.7953913
2.1247249,-1.3281285
3.2566311,-2.826913
7.405848,2.5525599
7.4561543,2.5685306
7.981967,8.92225
7.983257,8.915579
8.817916,9.021314
8.697873,8.8733635
7.900554,8.815938
8.425472,8.463452
0.20169221,1.2669646
0.14846715,1.3215522
3.137806,-2.8492491
8.962849,-0.7303503
11.999851,5.51833
11.927367,5.5218368
11.783561,5.564162
11.869753,5.6053615
13.057482,5.8828034
8.860479,-0.8547672
8.901977,-0.8013786
13.027723,5.8496475
12.921516,5.676753
12.914731,5.6993465
13.185333,6.0201607
13.143252,6.044886
13.087759,5.897239
12.887654,5.7172666
13.232166,6.06225
8.819374,-0.90310675
12.091443,5.466528
13.180156,6.0132537
12.037974,5.4488587
8.772799,-0.94298995
8.830599,-0.8855149
8.800667,-0.9149891
11.950006,5.5860066
11.788077,5.4951735
11.95445,5.59194
11.75099,5.5601225
11.732628,5.679432
13.153303,5.969445
13.118674,5.9495463
8.874711,-0.830895
8.901077,-0.8139261
9.011675,-0.6897175
8.872682,-0.84339064
8.939473,-0.76292807
8.883888,-0.83315897
11.910959,5.5463033
12.870366,5.6667995
11.062072,2.17867
11.116513,2.920118
10.997521,2.294512
11.014225,2.252766
11.088274,2.1754448
11.157063,2.2431183
10.951153,2.1541796
