pdb,radius,compactness,openness,n_pocket_res,PC1,PC2,PC3
2pog.pdb,6.31667423248291,1.3768186569213867,7.713440418243408,14,-0.2527653279000853,-0.31849650849550304,0.2745885565226823
2q6j.pdb,6.277085304260254,1.3527859449386597,7.952374458312988,13,-0.22573312124299968,0.6388523170570479,-0.32921230412080016
2q70.pdb,6.329573154449463,1.3712009191513062,7.826647281646728,14,-0.20079208464806214,0.1609762604535514,0.04333052105552109
2qa6.pdb,6.587718486785889,1.4395368099212646,7.914752960205078,16,0.09326854168953343,0.7634332874651256,0.3410473233060956
2qa8.pdb,6.161868095397949,1.2544174194335938,7.940035343170166,11,-0.22038776704630544,0.4182674820112834,-0.6377700801065896
2qab.pdb,6.374084949493408,1.4154866933822632,7.966733455657959,14,-0.19048221293389642,0.8219245683310189,-0.11298318667267306
2qe4.pdb,6.364185333251953,1.3571168184280396,7.906067371368408,14,-0.10398225293924448,0.5040086143282992,-0.10049203486712804
2qgt.pdb,6.328298091888428,1.4165005683898926,7.913938522338867,14,-0.2748735612633882,0.5712306049340332,-0.064156009803525
2qgw.pdb,6.361536502838135,1.433692216873169,7.852863788604736,14,-0.26644389328148893,0.35199727309801637,0.14216090342062634
2qh6.pdb,6.22346305847168,1.3085668087005615,7.850916385650635,12,-0.24365266315267523,0.1347387476983978,-0.2674419703452353
2qr9.pdb,6.174164295196533,1.343371868133545,7.607872009277344,12,-0.43373943397550785,-0.8866376413989487,0.23823509628449538
2qse.pdb,6.376503467559815,1.4054992198944092,7.966312408447266,14,-0.16733125303473959,0.8120962863332792,-0.12611855708276629
2qxm.pdb,6.455716609954834,1.4575468301773071,7.980759143829346,15,-0.13968814359496465,0.9738652530657612,0.04617555866246334
2qxs.pdb,6.032941818237305,1.152415156364441,7.669111251831055,10,-0.2767457015003165,-0.9032435035103703,-0.4245848217233906
2qzo.pdb,6.1386260986328125,1.34132981300354,7.977987766265869,12,-0.41911870064719087,0.6467363236642735,-0.5991622123069831
2r6w.pdb,6.180490970611572,1.313612461090088,7.803473949432373,12,-0.3304178140628149,-0.0877348103938645,-0.2189258605818304
2r6y.pdb,6.424221992492676,1.3728927373886108,7.983136653900146,14,-0.025094248660852008,0.8822013065327079,-0.15124291237902132
2yat.pdb,6.986893653869629,0.8553192615509033,7.899181365966797,5,1.8590926464739614,0.3921677429741707,-0.08221956638521907
2yja.pdb,6.309443473815918,1.437502145767212,7.922549724578857,15,-0.344056740373285,0.6155796383796347,-0.07235433140222565
3cbm.pdb,6.077098369598389,1.761632800102234,7.751662731170654,12,-1.3736541696264892,0.05878190309141909,0.5271902383381131
3cbo.pdb,6.181605339050293,1.745810866355896,7.876972198486328,15,-1.1539502111878828,0.6382228989965157,0.38197263831510087
3cbp.pdb,5.296745300292969,1.886232018470764,7.42211389541626,10,-2.916669241585485,-1.7098952280779538,0.33951516262040937
3dt3.pdb,6.361229419708252,1.3601957559585571,7.917240619659424,14,-0.11263058778991525,0.5521110895511175,-0.12294779710395796
3erd.pdb,6.019749164581299,1.453388214111328,7.81786584854126,12,-0.8547426239985166,0.004097593817307863,-0.23245410093388058
3ert.pdb,6.89573335647583,1.0199955701828003,7.863326549530029,9,1.3880205215610157,0.3411098841597463,0.15248052735409298
3hlv.pdb,6.4443559646606445,1.4062926769256592,7.938732147216797,15,-0.06593608042108737,0.7403263413359439,0.02956867313685547
3hm1.pdb,6.282573223114014,0.8595660328865051,7.686055660247803,10,0.6917039773852728,-0.9533357912713257,-0.6191327197683442
3l03.pdb,6.095862865447998,1.3913549184799194,7.776264190673828,12,-0.6208402091020894,-0.18184159682665965,-0.14514505959318044
3q95.pdb,5.84692907333374,1.4520219564437866,7.329563617706299,12,-1.2156693342658662,-2.163929208390005,0.5546968768809012
3uu7.pdb,6.124438762664795,1.2429012060165403,7.919536590576172,10,-0.26130670717625276,0.29685061773629334,-0.6673926333560588
3uua.pdb,6.033166408538818,1.254015326499939,7.519985675811768,11,-0.5006093019588267,-1.4331582338363058,0.06892405652100922
3uuc.pdb,7.069960117340088,0.6271791458129883,7.861837387084961,6,2.4271465392262734,0.06880663007764612,-0.2842398808830079
3uud.pdb,5.531173706054688,1.7955294847488403,7.807357311248779,13,-2.2977915195241727,-0.02475137089300296,-0.3031786736810059
4aa6.pdb,6.945942401885986,0.0558891296386718,7.001831531524658,2,3.1822686749195634,-4.181050011733581,0.36335241176901195
4dma.pdb,6.24143648147583,1.3867820501327517,7.912752628326416,13,-0.3556045566445077,0.48185961145578515,-0.23633386556777436
4iu7.pdb,6.510153293609619,1.445488452911377,7.978024959564209,16,-0.030186516565892794,0.9857146560085661,0.10784765515199238
4iui.pdb,6.573553085327148,1.4552356004714966,7.885052680969238,16,0.034879426407562926,0.6444033148456569,0.411326532822028
4iv2.pdb,6.416696071624756,1.430978536605835,7.940673351287842,15,-0.15748697032265394,0.7544846643869881,0.029481064985699953
4iv4.pdb,6.38262939453125,1.4178436994552612,7.965285301208496,15,-0.18172593614207558,0.8235832193248935,-0.09372262193106438
4ivw.pdb,6.321163654327393,1.3981314897537231,7.9162983894348145,14,-0.25015100745477253,0.5589105111628251,-0.11132246150438806
4ivy.pdb,6.5849690437316895,1.4338762760162354,7.902568817138672,16,0.09766647974010907,0.7049270307253367,0.35306948415407174
4iw6.pdb,6.494311332702637,1.425982117652893,7.952798366546631,16,-0.02211766373401464,0.8505709003575846,0.10479185650392141
4iw8.pdb,6.53195333480835,1.4272027015686035,7.774316787719727,16,0.002993113470432709,0.12452491371773414,0.5380062168110736
4iwc.pdb,6.211223125457764,1.3897322416305542,7.969517707824707,13,-0.39908800646699844,0.704270922310389,-0.3940683698879471
4iwf.pdb,6.502682209014893,1.4220268726348877,7.926869869232178,16,-0.005833400788814008,0.7429844262155421,0.16461032264329734
4jc3.pdb,6.276803493499756,1.1031594276428225,7.695127487182617,5,0.21149755789465752,-0.6844876952659904,-0.22100426721120162
4jdd.pdb,7.043788909912109,0.6643917560577393,7.97071647644043,5,2.3330709838574624,0.5461744670959315,-0.48674794561233486
