pdb,radius,compactness,openness,n_pocket_res
2llq.pdb,5.213973522186279,1.6487879753112793,7.8987226486206055,9
2ocf.pdb,7.013059616088867,0.8040517568588257,7.96457576751709,9
2ouz.pdb,6.838110446929932,1.0449590682983398,7.881011009216309,9
2p15.pdb,6.278143405914307,1.3578318357467651,7.600196361541748,12
2pog.pdb,6.31667423248291,1.3768186569213867,7.713440418243408,14
2q6j.pdb,6.277085304260254,1.3527859449386597,7.952374458312988,13
2q70.pdb,6.329573154449463,1.3712009191513062,7.8266472816467285,14
2qa6.pdb,6.587718486785889,1.4395368099212646,7.914752960205078,16
2qa8.pdb,6.161868095397949,1.2544174194335938,7.940035343170166,11
2qab.pdb,6.374084949493408,1.4154866933822632,7.966733455657959,14
2qe4.pdb,6.364185333251953,1.3571168184280396,7.906067371368408,14
2qgt.pdb,6.328298091888428,1.4165005683898926,7.913938522338867,14
2qgw.pdb,6.361536502838135,1.433692216873169,7.852863788604736,14
2qh6.pdb,6.22346305847168,1.3085668087005615,7.850916385650635,12
2qr9.pdb,6.174164295196533,1.343371868133545,7.607872009277344,12
2qse.pdb,6.3765034675598145,1.4054992198944092,7.966312408447266,14
2qxm.pdb,6.455716609954834,1.4575468301773071,7.980759143829346,15
2qxs.pdb,6.032941818237305,1.152415156364441,7.669111251831055,10
2qzo.pdb,6.1386260986328125,1.34132981300354,7.977987766265869,12
2r6w.pdb,6.180490970611572,1.313612461090088,7.803473949432373,12
2r6y.pdb,6.424221992492676,1.3728927373886108,7.9831366539001465,14
2yat.pdb,6.986893653869629,0.8553192615509033,7.899181365966797,5
2yja.pdb,6.309443473815918,1.437502145767212,7.922549724578857,15
3cbm.pdb,6.077098369598389,1.7616328001022339,7.751662731170654,12
3cbo.pdb,6.181605339050293,1.745810866355896,7.876972198486328,15
3cbp.pdb,5.296745300292969,1.8862320184707642,7.42211389541626,10
3dt3.pdb,6.361229419708252,1.3601957559585571,7.917240619659424,14
3erd.pdb,6.019749164581299,1.4533882141113281,7.81786584854126,12
3ert.pdb,6.89573335647583,1.0199955701828003,7.863326549530029,9
3hlv.pdb,6.4443559646606445,1.4062926769256592,7.938732147216797,15
3hm1.pdb,6.282573223114014,0.8595660328865051,7.686055660247803,10
3l03.pdb,6.095862865447998,1.3913549184799194,7.776264190673828,12
3q95.pdb,5.84692907333374,1.4520219564437866,7.329563617706299,12
3uu7.pdb,6.124438762664795,1.2429012060165405,7.919536590576172,10
3uua.pdb,6.033166408538818,1.254015326499939,7.519985675811768,11
3uuc.pdb,7.069960117340088,0.6271791458129883,7.861837387084961,6
3uud.pdb,5.5311737060546875,1.7955294847488403,7.807357311248779,13
4aa6.pdb,6.945942401885986,0.055889129638671875,7.001831531524658,2
4dma.pdb,6.24143648147583,1.3867820501327515,7.912752628326416,13
4iu7.pdb,6.510153293609619,1.445488452911377,7.978024959564209,16
4iui.pdb,6.573553085327148,1.4552356004714966,7.885052680969238,16
4iv2.pdb,6.416696071624756,1.430978536605835,7.940673351287842,15
4iv4.pdb,6.38262939453125,1.4178436994552612,7.965285301208496,15
4ivw.pdb,6.321163654327393,1.3981314897537231,7.9162983894348145,14
4ivy.pdb,6.5849690437316895,1.4338762760162354,7.902568817138672,16
4iw6.pdb,6.494311332702637,1.425982117652893,7.952798366546631,16
4iw8.pdb,6.53195333480835,1.4272027015686035,7.774316787719727,16
4iwc.pdb,6.211223125457764,1.3897322416305542,7.969517707824707,13
