TSNE1,TSNE2
1.4226822,21.203878
2.1909373,21.471077
-6.5640984,15.301594
-5.5891438,16.77889
-5.759414,16.8822
-6.037104,16.736696
-8.652155,18.864082
-9.261194,18.370663
-5.6078715,19.248238
-9.269021,19.257849
-8.001088,17.42705
-8.6205845,16.94192
-9.13291,16.675844
-9.419211,17.207966
-9.701324,18.219492
-8.550279,19.847198
-8.809906,20.328733
-8.207648,19.942686
-9.937889,16.34519
-8.715563,16.084702
-10.200118,19.225788
7.3268228,19.650164
-8.039587,18.250463
14.335689,13.265478
14.313022,13.2533045
2.220656,-6.898601
2.2974792,-7.34166
3.7746942,-6.7466516
2.0275087,-7.939115
2.4556797,-7.734831
15.351352,16.358805
26.372177,6.9204698
25.836088,5.6740727
26.066198,5.321325
23.3864,5.7048755
23.39098,5.3833528
24.548422,4.735685
24.56177,4.726965
24.281513,5.786712
23.52894,3.1991248
24.132355,3.474695
6.1598806,9.5740185
-2.750305,21.082354
-7.852286,12.322912
13.713069,1.5838068
9.2967205,13.429155
-10.128643,-1.0325147
24.920202,8.297844
-6.0751615,20.230032
6.4257035,20.265491
-16.346376,3.9900358
-9.497604,-0.23046762
-10.647117,5.0237403
-2.2589715,12.77281
4.265235,-6.423225
4.188995,-6.497828
-9.207425,0.26901087
10.184363,11.020035
14.084885,21.26477
13.920592,21.078873
12.237227,17.992916
-9.580944,2.3898287
12.42491,6.385133
22.847647,9.733673
0.8209219,13.296628
9.905253,19.12152
12.411999,16.606707
9.209208,18.5266
9.192229,20.102316
8.489722,20.192287
7.850159,20.489569
25.704088,12.225649
24.666794,11.638768
24.074291,11.980163
25.547827,12.367324
24.425188,11.921955
26.609234,12.632666
25.897058,13.189812
24.536734,12.97642
18.373556,16.801292
18.361776,16.819689
-0.29881608,9.284307
-0.29161105,9.262559
-5.5523376,19.157858
-7.2306967,18.669056
25.76319,9.859071
26.064327,10.256108
-10.146245,-1.602923
-10.127759,1.1873075
-9.234354,0.5499742
-12.621289,0.4946795
-14.440821,3.978607
-13.332277,2.97247
13.136385,21.984856
13.165996,21.550459
23.050673,10.594059
23.996649,10.905615
3.466115,2.242209
3.466115,2.242209
-2.8276792,12.202314
6.2734003,7.811035
3.813202,0.05510932
-3.9597745,10.714104
0.41867477,14.386445
0.43864155,14.339867
1.9802101,1.8738449
2.3294704,4.0296373
1.9801874,1.8736873
-19.040756,-21.022013
-14.679193,-18.59337
-14.768672,-18.616167
-18.098692,-20.095207
1.0038897,-8.595804
-4.4346433,9.9145155
2.20082,2.9908886
2.3307893,3.1522887
-4.427718,-6.2190003
-0.12307528,-11.61032
-0.24697748,-11.60819
5.2666745,-10.735915
-3.7886994,12.174654
-1.7211128,-11.395707
-4.562166,-9.762181
-3.8577218,-10.043011
-4.407065,-9.825789
-16.261805,-16.106127
-16.27485,-16.086433
-19.000202,-18.95985
-16.126095,-20.620518
-16.66542,-20.76548
-16.469633,-21.440794
-17.285486,-21.373596
-16.216734,-19.99403
-16.845037,-20.248878
-15.591648,-21.257576
-17.15225,-22.158886
7.4169574,6.765366
-2.365475,-11.489754
-6.4876657,0.11229477
61.700665,-81.687386
-17.384224,-18.401316
-9.331842,-25.414747
-9.467597,-25.367609
-9.146371,-25.569847
5.254545,-10.784185
5.3264747,-10.686692
-2.5425987,-12.212717
-2.6218357,-12.504228
-6.504879,0.10703943
14.011792,-4.870075
14.563549,-4.503418
21.134773,3.1056616
20.653418,3.2115562
21.013191,3.8965127
20.440168,4.0361867
22.826721,2.0071406
23.298693,2.2628472
22.1932,3.8268247
-9.724798,-12.709612
-9.8917,-13.616691
-10.097976,-13.652495
-2.3718271,9.433707
23.274206,3.408825
20.989494,4.3979926
22.347551,3.1007438
14.123807,-4.8217974
13.229217,-5.2691994
-9.91204,-3.0969388
-7.814553,-1.913223
0.8580233,-0.8575608
0.53992474,-1.0108428
-7.814066,-1.9139549
6.051127,5.740642
27.762657,10.463006
27.519619,10.407638
24.288105,2.2248836
-21.316668,-20.591906
-23.837269,-20.24776
-26.44901,-16.759617
-25.496487,-18.959223
-26.261671,-17.910923
-27.136158,-19.362282
-23.752993,-17.86554
-21.9147,-19.736952
-26.775145,-20.82424
-29.67334,-19.309341
-30.130205,-19.74701
-29.620169,-21.103704
-28.441803,-20.589409
-27.103273,-20.342424
-27.496437,-18.359024
-28.360764,-21.438662
-24.097738,-15.557367
-23.802551,-19.854715
-28.86995,-21.52785
-25.794308,-18.367289
-23.573725,-16.345863
-23.802605,-17.185781
-24.741163,-16.872795
-26.531242,-18.811995
-27.446299,-16.805706
-26.790678,-16.99092
-26.056494,-19.349058
-25.961761,-20.305124
-28.165756,-19.779926
-29.676226,-20.444874
-23.136707,-17.127161
-24.375574,-17.651148
-22.517508,-19.644533
-24.943693,-15.852686
-22.105312,-19.986406
-24.345125,-16.710627
-26.759342,-18.147823
-28.176855,-18.342047
-13.841492,-27.035091
-14.902934,-31.70372
-13.009363,-27.221046
-13.318943,-27.964756
-13.758551,-27.683475
-14.5450945,-27.711542
-12.752406,-27.9954
-12.54168,-28.98133
-15.837011,-29.823353
-16.09444,-30.47733
-15.240423,-29.694195
